Time,Time,Volume,Open,Close,High,Low
2022-05-02 11:00:00,2022-05-02 11:00:00,10418,283.96,280.17,283.96,278.48
2022-05-02 12:00:00,2022-05-02 12:00:00,309633,279.98,282.79,284.13,279.98
2022-05-02 13:00:00,2022-05-02 13:00:00,3520885,282.97,289.16,291.56,279.97
2022-05-02 14:00:00,2022-05-02 14:00:00,3278379,289.36,289.06,295.37,285.7
2022-05-02 15:00:00,2022-05-02 15:00:00,1793524,289.02,289.63,291.02,286.94
2022-05-02 16:00:00,2022-05-02 16:00:00,1171391,289.6,285.55,290.73,285.3
2022-05-02 17:00:00,2022-05-02 17:00:00,1216333,285.71,286.14,286.41,283.28
2022-05-02 18:00:00,2022-05-02 18:00:00,1453112,286.13,287.6,288.93,283.68
2022-05-02 19:00:00,2022-05-02 19:00:00,3542427,287.56,298.04,299.08,287.29
2022-05-02 20:00:00,2022-05-02 20:00:00,1892812,298.04,296.85,298.84,295.21
2022-05-02 21:00:00,2022-05-02 21:00:00,73385,296.87,298.42,298.62,296.4
2022-05-02 22:00:00,2022-05-02 22:00:00,68585,298.37,298.79,300.13,298.09
2022-05-03 11:00:00,2022-05-03 11:00:00,2055,297.44,298.25,298.32,297.27
2022-05-03 12:00:00,2022-05-03 12:00:00,98518,298.25,299.29,300.56,298.12
2022-05-03 13:00:00,2022-05-03 13:00:00,2442033,299.31,304.05,304.05,293.23
2022-05-03 14:00:00,2022-05-03 14:00:00,2281142,304.05,299.69,304.95,297.36
2022-05-03 15:00:00,2022-05-03 15:00:00,1219648,299.81,301.62,302.78,298.7
2022-05-03 16:00:00,2022-05-03 16:00:00,988779,301.68,299.41,303.1,298.0
2022-05-03 17:00:00,2022-05-03 17:00:00,942306,299.41,302.32,303.81,299.21
2022-05-03 18:00:00,2022-05-03 18:00:00,1414336,302.26,300.12,302.46,297.01
2022-05-03 19:00:00,2022-05-03 19:00:00,1855209,300.01,300.07,300.66,297.14
2022-05-03 20:00:00,2022-05-03 20:00:00,1297952,300.07,299.81,301.24,299.64
2022-05-03 21:00:00,2022-05-03 21:00:00,7173,299.8,299.81,300.16,298.65
2022-05-03 22:00:00,2022-05-03 22:00:00,2448,299.82,299.31,299.87,298.65
